loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
10.576,270.1712951660156,3e-06,0.2,10,,,,
8.0517,96.40708923339844,8.000000000000001e-06,0.4,20,,,,
5.5647,84.69678497314453,1.3000000000000001e-05,0.6,30,,,,
4.1549,48.740352630615234,1.8e-05,0.8,40,,,,
3.2493,33.08280944824219,2.3000000000000003e-05,1.0,50,,,,
2.7575,23.804746627807617,2.8000000000000003e-05,1.2,60,,,,
2.5277,25.601306915283203,3.3e-05,1.4,70,,,,
2.5057,19.06776237487793,3.8e-05,1.6,80,,,,
2.3576,34.86213684082031,4.3e-05,1.8,90,,,,
2.3516,17.936620712280273,4.8e-05,2.0,100,,,,
1.9557,15.876187324523926,4.8e-05,2.2,110,,,,
1.8361,17.109437942504883,4.466666666666667e-05,2.4,120,,,,
1.8036,17.25130271911621,4.133333333333333e-05,2.6,130,,,,
1.8385,15.191571235656738,3.8e-05,2.8,140,,,,
1.8159,18.57012176513672,3.466666666666667e-05,3.0,150,,,,
1.4436,18.9995174407959,3.1333333333333334e-05,3.2,160,,,,
1.3483,15.065823554992676,2.8000000000000003e-05,3.4,170,,,,
1.3763,14.583125114440918,2.466666666666667e-05,3.6,180,,,,
1.4121,16.842086791992188,2.1333333333333335e-05,3.8,190,,,,
1.3997,16.683109283447266,1.8e-05,4.0,200,,,,
,,,4.0,200,2.1836729049682617,2.6517,37.711,9.428
1.2132,17.498226165771484,1.4666666666666668e-05,4.2,210,,,,
1.1512,16.67059898376465,1.1333333333333334e-05,4.4,220,,,,
1.1612,15.536192893981934,8.000000000000001e-06,4.6,230,,,,
1.1056,15.322794914245605,4.666666666666667e-06,4.8,240,,,,
1.1098,13.77341079711914,1.3333333333333334e-06,5.0,250,,,,
